Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,triangular_face_1,5.377,0.0,3.736,2.692,0.0,3.934,5.527,-5.644,3.722
2,triangular_face_2,2.692,0.0,3.934,4.311,-6.62,3.831,5.527,-5.644,3.722
3,triangular_face_3,2.692,0.0,3.934,3.045,-7.29,3.916,4.311,-6.62,3.831
4,triangular_face_4,2.692,0.0,3.934,1.581,-7.74,3.977,3.045,-7.29,3.916
5,triangular_face_5,2.692,0.0,3.934,0.0,0.0,4.0,1.581,-7.74,3.977
6,triangular_face_6,0.0,0.0,4.0,0.0,-7.9,4.0,1.581,-7.74,3.977
7,triangular_face_7,0.0,0.0,4.0,-1.509,-7.754,3.979,0.0,-7.9,4.0
8,triangular_face_8,0.0,0.0,4.0,-2.692,0.0,3.934,-1.509,-7.754,3.979
9,triangular_face_9,-2.692,0.0,3.934,-2.917,-7.342,3.923,-1.509,-7.754,3.979
10,triangular_face_10,-2.692,0.0,3.934,-4.261,-6.653,3.835,-2.917,-7.342,3.923
11,triangular_face_11,-2.692,0.0,3.934,-5.444,-5.724,3.73,-4.261,-6.653,3.835
12,triangular_face_12,-2.692,0.0,3.934,-5.377,0.0,3.736,-5.444,-5.724,3.73
13,triangular_face_13,-5.377,0.0,3.736,-6.466,-4.539,3.619,-5.444,-5.724,3.73
14,triangular_face_14,-5.377,0.0,3.736,-7.201,-3.25,3.527,-6.466,-4.539,3.619
15,triangular_face_15,-5.377,0.0,3.736,-8.129,-0.676,3.396,-7.201,-3.25,3.527
16,triangular_face_16,-5.377,0.0,3.736,-8.07,-0.339,3.405,-8.129,-0.676,3.396
17,triangular_face_17,-5.377,0.0,3.736,-8.05,0.0,3.408,-8.07,-0.339,3.405
18,triangular_face_18,-8.05,0.0,3.408,-5.377,0.0,3.736,-8.136,0.707,3.39
19,triangular_face_19,-8.136,0.707,3.39,-5.377,0.0,3.736,-7.201,3.25,3.43
20,triangular_face_20,-5.377,0.0,3.736,-5.682,3.96,3.562,-7.201,3.25,3.43
21,triangular_face_21,-7.201,3.25,3.43,-5.682,3.96,3.562,-6.548,4.42,3.43
22,triangular_face_22,-6.548,4.42,3.43,-5.682,3.96,3.562,-5.706,5.463,3.43
23,triangular_face_23,-5.706,5.463,3.43,-5.682,3.96,3.562,-4.474,6.511,3.43
24,triangular_face_24,-5.682,3.96,3.562,-1.897,3.96,3.824,-4.474,6.511,3.43
25,triangular_face_25,-2.692,0.0,3.934,-1.897,3.96,3.824,-5.682,3.96,3.562
26,triangular_face_26,-2.692,0.0,3.934,-5.682,3.96,3.562,-5.377,0.0,3.736
27,triangular_face_27,-4.474,6.511,3.43,-1.897,3.96,3.824,-3.151,7.244,3.43
28,triangular_face_28,-3.151,7.244,3.43,-1.897,3.96,3.824,-1.609,7.734,3.43
29,triangular_face_29,-1.609,7.734,3.43,-1.897,3.96,3.824,0.0,5.277,3.746
30,triangular_face_30,-1.609,7.734,3.43,0.0,5.277,3.746,0.0,7.9,3.43
31,triangular_face_31,0.0,5.277,3.746,-1.897,3.96,3.824,0.0,2.641,3.937
32,triangular_face_32,0.0,2.641,3.937,-1.897,3.96,3.824,-2.692,0.0,3.934
33,triangular_face_33,-2.692,0.0,3.934,0.0,0.0,4.0,0.0,2.641,3.937
34,triangular_face_34,0.0,0.0,4.0,2.692,0.0,3.934,0.0,2.641,3.937
35,triangular_face_35,2.692,0.0,3.934,1.897,3.96,3.824,0.0,2.641,3.937
36,triangular_face_36,0.0,2.641,3.937,1.897,3.96,3.824,0.0,5.277,3.746
37,triangular_face_37,0.0,5.277,3.746,1.897,3.96,3.824,2.635,7.448,3.43
38,triangular_face_38,0.0,5.277,3.746,2.635,7.448,3.43,1.337,7.786,3.43
39,triangular_face_39,0.0,7.9,3.43,0.0,5.277,3.746,1.337,7.786,3.43
40,triangular_face_40,2.635,7.448,3.43,1.897,3.96,3.824,4.097,6.755,3.43
41,triangular_face_41,4.097,6.755,3.43,1.897,3.96,3.824,5.307,5.852,3.43
42,triangular_face_42,1.897,3.96,3.824,5.682,3.96,3.562,5.307,5.852,3.43
43,triangular_face_43,2.692,0.0,3.934,5.682,3.96,3.562,1.897,3.96,3.824
44,triangular_face_44,5.377,0.0,3.736,5.682,3.96,3.562,2.692,0.0,3.934
