Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,triangular_face_1,-7.201,-3.25,0.0,-6.452,-4.559,0.0,-7.201,-3.25,3.527
2,triangular_face_2,-7.201,-3.25,3.527,-6.452,-4.559,0.0,-6.466,-4.539,3.619
3,triangular_face_3,-6.452,-4.559,0.0,-5.468,-5.701,0.0,-6.466,-4.539,3.619
4,triangular_face_4,-6.466,-4.539,3.619,-5.468,-5.701,0.0,-5.444,-5.724,3.73
5,triangular_face_5,-5.468,-5.701,0.0,-4.286,-6.636,0.0,-5.444,-5.724,3.73
6,triangular_face_6,-5.444,-5.724,3.73,-4.286,-6.636,0.0,-4.261,-6.653,3.835
7,triangular_face_7,-4.286,-6.636,0.0,-2.947,-7.33,0.0,-4.261,-6.653,3.835
8,triangular_face_8,-4.261,-6.653,3.835,-2.947,-7.33,0.0,-2.917,-7.342,3.923
9,triangular_face_9,-2.947,-7.33,0.0,-1.501,-7.756,0.0,-2.917,-7.342,3.923
10,triangular_face_10,-2.917,-7.342,3.923,-1.501,-7.756,0.0,-1.509,-7.754,3.979
11,triangular_face_11,-1.501,-7.756,0.0,0.0,-7.9,0.0,-1.509,-7.754,3.979
12,triangular_face_12,-1.509,-7.754,3.979,0.0,-7.9,0.0,0.0,-7.9,4.0
13,triangular_face_13,0.0,-7.9,0.0,1.501,-7.756,0.0,0.0,-7.9,4.0
14,triangular_face_14,0.0,-7.9,4.0,1.501,-7.756,0.0,1.581,-7.74,3.977
15,triangular_face_15,1.501,-7.756,0.0,2.947,-7.33,0.0,1.581,-7.74,3.977
16,triangular_face_16,1.581,-7.74,3.977,2.947,-7.33,0.0,3.045,-7.29,3.916
17,triangular_face_17,2.947,-7.33,0.0,4.286,-6.636,0.0,3.045,-7.29,3.916
18,triangular_face_18,3.045,-7.29,3.916,4.286,-6.636,0.0,4.311,-6.62,3.831
19,triangular_face_19,4.286,-6.636,0.0,5.468,-5.701,0.0,4.311,-6.62,3.831
20,triangular_face_20,4.311,-6.62,3.831,5.468,-5.701,0.0,5.527,-5.644,3.722
21,triangular_face_21,5.468,-5.701,0.0,6.452,-4.559,0.0,5.527,-5.644,3.722
22,triangular_face_22,5.527,-5.644,3.722,6.452,-4.559,0.0,6.497,-4.495,3.615
23,triangular_face_23,6.452,-4.559,0.0,7.201,-3.25,0.0,6.497,-4.495,3.615
24,triangular_face_24,6.497,-4.495,3.615,7.201,-3.25,0.0,7.201,-3.25,3.527
25,triangular_face_25,7.201,3.25,0.0,6.452,4.559,0.0,7.201,3.25,3.43
26,triangular_face_26,7.201,3.25,3.43,6.452,4.559,0.0,6.388,4.649,3.43
27,triangular_face_27,6.452,4.559,0.0,5.468,5.701,0.0,6.388,4.649,3.43
28,triangular_face_28,6.388,4.649,3.43,5.468,5.701,0.0,5.307,5.852,3.43
29,triangular_face_29,5.468,5.701,0.0,4.286,6.636,0.0,5.307,5.852,3.43
30,triangular_face_30,5.307,5.852,3.43,4.286,6.636,0.0,4.097,6.755,3.43
31,triangular_face_31,4.286,6.636,0.0,2.947,7.33,0.0,4.097,6.755,3.43
32,triangular_face_32,4.097,6.755,3.43,2.947,7.33,0.0,2.635,7.448,3.43
33,triangular_face_33,2.947,7.33,0.0,1.501,7.756,0.0,2.635,7.448,3.43
34,triangular_face_34,2.635,7.448,3.43,1.501,7.756,0.0,1.337,7.786,3.43
35,triangular_face_35,1.501,7.756,0.0,-0.0,7.9,0.0,1.337,7.786,3.43
36,triangular_face_36,1.337,7.786,3.43,-0.0,7.9,0.0,0.0,7.9,3.43
37,triangular_face_37,-0.0,7.9,0.0,-1.501,7.756,0.0,0.0,7.9,3.43
38,triangular_face_38,0.0,7.9,3.43,-1.501,7.756,0.0,-1.609,7.734,3.43
39,triangular_face_39,-1.501,7.756,0.0,-2.947,7.33,0.0,-1.609,7.734,3.43
40,triangular_face_40,-1.609,7.734,3.43,-2.947,7.33,0.0,-3.151,7.244,3.43
41,triangular_face_41,-2.947,7.33,0.0,-4.286,6.636,0.0,-3.151,7.244,3.43
42,triangular_face_42,-3.151,7.244,3.43,-4.286,6.636,0.0,-4.474,6.511,3.43
43,triangular_face_43,-4.286,6.636,0.0,-5.468,5.701,0.0,-4.474,6.511,3.43
44,triangular_face_44,-4.474,6.511,3.43,-5.468,5.701,0.0,-5.706,5.463,3.43
45,triangular_face_45,-5.468,5.701,0.0,-6.452,4.559,0.0,-5.706,5.463,3.43
46,triangular_face_46,-5.706,5.463,3.43,-6.452,4.559,0.0,-6.548,4.42,3.43
47,triangular_face_47,-6.452,4.559,0.0,-7.201,3.25,0.0,-6.548,4.42,3.43
48,triangular_face_48,-6.548,4.42,3.43,-7.201,3.25,0.0,-7.201,3.25,3.43
49,triangular_face_49,7.201,3.25,0.0,7.201,3.25,3.43,9.825,3.25,3.018
50,triangular_face_50,12.427,3.25,2.479,7.201,3.25,0.0,9.825,3.25,3.018
51,triangular_face_51,15.0,3.25,0.0,7.201,3.25,0.0,12.427,3.25,2.479
52,triangular_face_52,15.0,3.25,0.0,12.427,3.25,2.479,15.0,3.25,1.815
53,triangular_face_53,15.0,3.25,0.0,15.0,3.25,1.815,15.0,2.167,1.871
54,triangular_face_54,15.0,1.084,1.904,15.0,3.25,0.0,15.0,2.167,1.871
55,triangular_face_55,15.0,0.0,1.915,15.0,3.25,0.0,15.0,1.084,1.904
56,triangular_face_56,15.0,-3.25,0.0,15.0,3.25,0.0,15.0,0.0,1.915
57,triangular_face_57,15.0,-3.25,0.0,15.0,0.0,1.915,15.0,-3.25,1.915
58,triangular_face_58,15.0,-3.25,0.0,15.0,-3.25,1.915,12.427,-3.25,2.578
59,triangular_face_59,7.201,-3.25,0.0,15.0,-3.25,0.0,12.427,-3.25,2.578
60,triangular_face_60,7.201,-3.25,0.0,12.427,-3.25,2.578,9.825,-3.25,3.115
