Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,-15.0,-3.25,0.0,-15.0,3.25,0.0,NA,NA,NA
2,Line,-15.0,3.25,0.0,-7.201,3.25,0.0,NA,NA,NA
3,Line,-7.201,3.25,0.0,-6.452,4.559,0.0,NA,NA,NA
4,Line,-6.452,4.559,0.0,-5.468,5.701,0.0,NA,NA,NA
5,Line,-5.468,5.701,0.0,-4.286,6.636,0.0,NA,NA,NA
6,Line,-4.286,6.636,0.0,-2.947,7.33,0.0,NA,NA,NA
7,Line,-2.947,7.33,0.0,-1.501,7.756,0.0,NA,NA,NA
8,Line,-1.501,7.756,0.0,-0.0,7.9,0.0,NA,NA,NA
9,Line,-0.0,7.9,0.0,1.501,7.756,0.0,NA,NA,NA
10,Line,1.501,7.756,0.0,2.947,7.33,0.0,NA,NA,NA
11,Line,2.947,7.33,0.0,4.286,6.636,0.0,NA,NA,NA
12,Line,4.286,6.636,0.0,5.468,5.701,0.0,NA,NA,NA
13,Line,5.468,5.701,0.0,6.452,4.559,0.0,NA,NA,NA
14,Line,6.452,4.559,0.0,7.201,3.25,0.0,NA,NA,NA
15,Line,7.201,3.25,0.0,15.0,3.25,0.0,NA,NA,NA
16,Line,15.0,-3.25,0.0,15.0,3.25,0.0,NA,NA,NA
17,Line,7.201,-3.25,0.0,15.0,-3.25,0.0,NA,NA,NA
18,Line,6.452,-4.559,0.0,7.201,-3.25,0.0,NA,NA,NA
19,Line,5.468,-5.701,0.0,6.452,-4.559,0.0,NA,NA,NA
20,Line,4.286,-6.636,0.0,5.468,-5.701,0.0,NA,NA,NA
21,Line,2.947,-7.33,0.0,4.286,-6.636,0.0,NA,NA,NA
22,Line,1.501,-7.756,0.0,2.947,-7.33,0.0,NA,NA,NA
23,Line,0.0,-7.9,0.0,1.501,-7.756,0.0,NA,NA,NA
24,Line,-1.501,-7.756,0.0,0.0,-7.9,0.0,NA,NA,NA
25,Line,-2.947,-7.33,0.0,-1.501,-7.756,0.0,NA,NA,NA
26,Line,-4.286,-6.636,0.0,-2.947,-7.33,0.0,NA,NA,NA
27,Line,-5.468,-5.701,0.0,-4.286,-6.636,0.0,NA,NA,NA
28,Line,-6.452,-4.559,0.0,-5.468,-5.701,0.0,NA,NA,NA
29,Line,-7.201,-3.25,0.0,-6.452,-4.559,0.0,NA,NA,NA
30,Line,-15.0,-3.25,0.0,-7.201,-3.25,0.0,NA,NA,NA
