Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,8.05,0.0,1.0,8.136,0.706,1.0,NA,NA,NA
2,Line,8.136,0.706,1.0,8.388,1.371,1.0,NA,NA,NA
3,Line,8.388,1.371,1.0,8.792,1.956,1.0,NA,NA,NA
4,Line,8.792,1.956,1.0,9.324,2.428,1.0,NA,NA,NA
5,Line,9.324,2.428,1.0,9.954,2.758,1.0,NA,NA,NA
6,Line,9.954,2.758,1.0,10.644,2.928,1.0,NA,NA,NA
7,Line,10.644,2.928,1.0,11.356,2.928,1.0,NA,NA,NA
8,Line,11.356,2.928,1.0,12.046,2.758,1.0,NA,NA,NA
9,Line,12.046,2.758,1.0,12.676,2.428,1.0,NA,NA,NA
10,Line,12.676,2.428,1.0,13.208,1.956,1.0,NA,NA,NA
11,Line,13.208,1.956,1.0,13.612,1.371,1.0,NA,NA,NA
12,Line,13.612,1.371,1.0,13.864,0.706,1.0,NA,NA,NA
13,Line,13.864,0.706,1.0,13.95,0.0,1.0,NA,NA,NA
14,Line,13.864,-0.706,1.0,13.95,0.0,1.0,NA,NA,NA
15,Line,13.612,-1.371,1.0,13.864,-0.706,1.0,NA,NA,NA
16,Line,13.208,-1.956,1.0,13.612,-1.371,1.0,NA,NA,NA
17,Line,12.676,-2.428,1.0,13.208,-1.956,1.0,NA,NA,NA
18,Line,12.046,-2.758,1.0,12.676,-2.428,1.0,NA,NA,NA
19,Line,11.356,-2.928,1.0,12.046,-2.758,1.0,NA,NA,NA
20,Line,10.644,-2.928,1.0,11.356,-2.928,1.0,NA,NA,NA
21,Line,9.954,-2.758,1.0,10.644,-2.928,1.0,NA,NA,NA
22,Line,9.324,-2.428,1.0,9.954,-2.758,1.0,NA,NA,NA
23,Line,8.792,-1.956,1.0,9.324,-2.428,1.0,NA,NA,NA
24,Line,8.388,-1.371,1.0,8.792,-1.956,1.0,NA,NA,NA
25,Line,8.136,-0.706,1.0,8.388,-1.371,1.0,NA,NA,NA
26,Line,8.05,0.0,1.0,8.136,-0.706,1.0,NA,NA,NA
27,Line,8.05,0.0,1.0,8.136,0.706,1.0,NA,NA,NA
28,Line,-8.136,-0.706,1.0,-8.05,0.0,1.0,NA,NA,NA
29,Line,-8.388,-1.371,1.0,-8.136,-0.706,1.0,NA,NA,NA
30,Line,-8.792,-1.956,1.0,-8.388,-1.371,1.0,NA,NA,NA
31,Line,-9.324,-2.428,1.0,-8.792,-1.956,1.0,NA,NA,NA
32,Line,-9.954,-2.758,1.0,-9.324,-2.428,1.0,NA,NA,NA
33,Line,-10.644,-2.928,1.0,-9.954,-2.758,1.0,NA,NA,NA
34,Line,-11.356,-2.928,1.0,-10.644,-2.928,1.0,NA,NA,NA
35,Line,-12.046,-2.758,1.0,-11.356,-2.928,1.0,NA,NA,NA
36,Line,-12.676,-2.428,1.0,-12.046,-2.758,1.0,NA,NA,NA
37,Line,-13.208,-1.956,1.0,-12.676,-2.428,1.0,NA,NA,NA
38,Line,-13.612,-1.371,1.0,-13.208,-1.956,1.0,NA,NA,NA
39,Line,-13.864,-0.706,1.0,-13.612,-1.371,1.0,NA,NA,NA
40,Line,-13.95,0.0,1.0,-13.864,-0.706,1.0,NA,NA,NA
41,Line,-13.95,0.0,1.0,-13.864,0.706,1.0,NA,NA,NA
42,Line,-13.864,0.706,1.0,-13.612,1.371,1.0,NA,NA,NA
43,Line,-13.612,1.371,1.0,-13.208,1.956,1.0,NA,NA,NA
44,Line,-13.208,1.956,1.0,-12.676,2.428,1.0,NA,NA,NA
45,Line,-12.676,2.428,1.0,-12.046,2.758,1.0,NA,NA,NA
46,Line,-12.046,2.758,1.0,-11.356,2.928,1.0,NA,NA,NA
47,Line,-11.356,2.928,1.0,-10.644,2.928,1.0,NA,NA,NA
48,Line,-10.644,2.928,1.0,-9.954,2.758,1.0,NA,NA,NA
49,Line,-9.954,2.758,1.0,-9.324,2.428,1.0,NA,NA,NA
50,Line,-9.324,2.428,1.0,-8.792,1.956,1.0,NA,NA,NA
51,Line,-9.324,2.428,1.0,-8.792,1.956,1.0,NA,NA,NA
52,Line,-8.792,1.956,1.0,-8.388,1.371,1.0,NA,NA,NA
53,Line,-8.388,1.371,1.0,-8.136,0.706,1.0,NA,NA,NA
54,Line,-8.136,0.706,1.0,-8.05,0.0,1.0,NA,NA,NA
55,Line,-8.136,-0.706,1.0,-8.05,0.0,1.0,NA,NA,NA
56,Line,-8.388,-1.371,1.0,-8.136,-0.706,1.0,NA,NA,NA
