Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,-1.47,15.681,-0.0,1.47,15.681,-0.0,NA,NA,NA
2,Line,1.47,15.681,-0.0,1.578,16.841,-0.0,NA,NA,NA
3,Line,1.578,16.841,-0.0,1.58,16.929,-0.0,NA,NA,NA
4,Line,1.578,17.017,-0.0,1.58,16.929,-0.0,NA,NA,NA
5,Line,1.573,17.105,-0.0,1.578,17.017,-0.0,NA,NA,NA
6,Line,1.564,17.193,-0.0,1.573,17.105,-0.0,NA,NA,NA
7,Line,1.548,17.31,-0.0,1.564,17.193,-0.0,NA,NA,NA
8,Line,1.527,17.441,-0.0,1.548,17.31,-0.0,NA,NA,NA
9,Line,1.493,17.614,-0.0,1.527,17.441,-0.0,NA,NA,NA
10,Line,1.448,17.808,-0.0,1.493,17.614,-0.0,NA,NA,NA
11,Line,1.397,18.0,-0.0,1.448,17.808,-0.0,NA,NA,NA
12,Line,1.339,18.19,-0.0,1.397,18.0,-0.0,NA,NA,NA
13,Line,1.276,18.378,-0.0,1.339,18.19,-0.0,NA,NA,NA
14,Line,1.184,18.627,-0.0,1.276,18.378,-0.0,NA,NA,NA
15,Line,1.072,18.897,-0.0,1.184,18.627,-0.0,NA,NA,NA
16,Line,0.953,19.158,-0.0,1.072,18.897,-0.0,NA,NA,NA
17,Line,0.826,19.415,-0.0,0.953,19.158,-0.0,NA,NA,NA
18,Line,0.727,19.604,-0.0,0.826,19.415,-0.0,NA,NA,NA
19,Line,0.625,19.79,-0.0,0.727,19.604,-0.0,NA,NA,NA
20,Line,-0.625,19.79,-0.0,0.625,19.79,-0.0,NA,NA,NA
21,Line,-0.869,19.33,-0.0,-0.625,19.79,-0.0,NA,NA,NA
22,Line,-1.05,18.947,-0.0,-0.869,19.33,-0.0,NA,NA,NA
23,Line,-1.194,18.6,-0.0,-1.05,18.947,-0.0,NA,NA,NA
24,Line,-1.305,18.294,-0.0,-1.194,18.6,-0.0,NA,NA,NA
25,Line,-1.392,18.016,-0.0,-1.305,18.294,-0.0,NA,NA,NA
26,Line,-1.466,17.733,-0.0,-1.392,18.016,-0.0,NA,NA,NA
27,Line,-1.521,17.476,-0.0,-1.466,17.733,-0.0,NA,NA,NA
28,Line,-1.554,17.27,-0.0,-1.521,17.476,-0.0,NA,NA,NA
29,Line,-1.571,17.121,-0.0,-1.554,17.27,-0.0,NA,NA,NA
30,Line,-1.578,17.01,-0.0,-1.571,17.121,-0.0,NA,NA,NA
31,Line,-1.58,16.925,-0.0,-1.578,17.01,-0.0,NA,NA,NA
32,Line,-1.58,16.925,-0.0,-1.578,16.841,-0.0,NA,NA,NA
33,Line,-1.578,16.841,-0.0,-1.47,15.681,-0.0,NA,NA,NA
