Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,-14.069,15.296,76.0,-14.069,18.646,76.0,NA,NA,NA
2,Line,-16.971,20.321,76.0,-14.069,18.646,76.0,NA,NA,NA
3,Line,-19.872,18.646,76.0,-16.971,20.321,76.0,NA,NA,NA
4,Line,-19.872,15.296,76.0,-19.872,18.646,76.0,NA,NA,NA
5,Line,-19.872,15.296,76.0,-16.971,13.621,76.0,NA,NA,NA
6,Line,-16.971,13.621,76.0,-14.069,15.296,76.0,NA,NA,NA
7,Line,14.069,15.296,76.0,16.971,13.621,76.0,NA,NA,NA
8,Line,14.069,15.296,76.0,14.069,18.646,76.0,NA,NA,NA
9,Line,14.069,18.646,76.0,16.971,20.321,76.0,NA,NA,NA
10,Line,16.971,20.321,76.0,19.872,18.646,76.0,NA,NA,NA
11,Line,19.872,15.296,76.0,19.872,18.646,76.0,NA,NA,NA
12,Line,16.971,13.621,76.0,19.872,15.296,76.0,NA,NA,NA
13,Line,14.069,-18.646,76.0,16.971,-20.321,76.0,NA,NA,NA
14,Line,14.069,-18.646,76.0,14.069,-15.296,76.0,NA,NA,NA
15,Line,14.069,-15.296,76.0,16.971,-13.621,76.0,NA,NA,NA
16,Line,16.971,-13.621,76.0,19.872,-15.296,76.0,NA,NA,NA
17,Line,19.872,-18.646,76.0,19.872,-15.296,76.0,NA,NA,NA
18,Line,16.971,-20.321,76.0,19.872,-18.646,76.0,NA,NA,NA
19,Line,-16.971,-20.321,76.0,-14.069,-18.646,76.0,NA,NA,NA
20,Line,-19.872,-18.646,76.0,-16.971,-20.321,76.0,NA,NA,NA
21,Line,-19.872,-18.646,76.0,-19.872,-15.296,76.0,NA,NA,NA
22,Line,-19.872,-15.296,76.0,-16.971,-13.621,76.0,NA,NA,NA
23,Line,-16.971,-13.621,76.0,-14.069,-15.296,76.0,NA,NA,NA
24,Line,-14.069,-18.646,76.0,-14.069,-15.296,76.0,NA,NA,NA
