Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,-9.251,12.747,17.0,-6.721,14.243,17.0,NA,NA,NA
2,Line,-7.218,15.297,17.0,-6.721,14.243,17.0,NA,NA,NA
3,Line,-7.25,15.354,17.0,-7.218,15.297,17.0,NA,NA,NA
4,Line,-7.284,15.41,17.0,-7.25,15.354,17.0,NA,NA,NA
5,Line,-7.342,15.499,17.0,-7.284,15.41,17.0,NA,NA,NA
6,Line,-7.417,15.602,17.0,-7.342,15.499,17.0,NA,NA,NA
7,Line,-7.527,15.738,17.0,-7.417,15.602,17.0,NA,NA,NA
8,Line,-7.641,15.87,17.0,-7.527,15.738,17.0,NA,NA,NA
9,Line,-7.76,15.998,17.0,-7.641,15.87,17.0,NA,NA,NA
10,Line,-7.898,16.138,17.0,-7.76,15.998,17.0,NA,NA,NA
11,Line,-8.059,16.289,17.0,-7.898,16.138,17.0,NA,NA,NA
12,Line,-8.224,16.434,17.0,-8.059,16.289,17.0,NA,NA,NA
13,Line,-8.376,16.56,17.0,-8.224,16.434,17.0,NA,NA,NA
14,Line,-8.608,16.74,17.0,-8.376,16.56,17.0,NA,NA,NA
15,Line,-8.849,16.912,17.0,-8.608,16.74,17.0,NA,NA,NA
16,Line,-9.096,17.077,17.0,-8.849,16.912,17.0,NA,NA,NA
17,Line,-9.541,17.35,17.0,-9.096,17.077,17.0,NA,NA,NA
18,Line,-10.617,16.713,17.0,-9.541,17.35,17.0,NA,NA,NA
19,Line,-10.617,16.713,17.0,-10.61,16.503,17.0,NA,NA,NA
20,Line,-10.61,16.503,17.0,-10.599,16.293,17.0,NA,NA,NA
21,Line,-10.599,16.293,17.0,-10.573,15.958,17.0,NA,NA,NA
22,Line,-10.573,15.958,17.0,-10.539,15.662,17.0,NA,NA,NA
23,Line,-10.539,15.662,17.0,-10.505,15.428,17.0,NA,NA,NA
24,Line,-10.505,15.428,17.0,-10.458,15.167,17.0,NA,NA,NA
25,Line,-10.458,15.167,17.0,-10.417,14.973,17.0,NA,NA,NA
26,Line,-10.417,14.973,17.0,-10.369,14.78,17.0,NA,NA,NA
27,Line,-10.369,14.78,17.0,-10.316,14.588,17.0,NA,NA,NA
28,Line,-10.316,14.588,17.0,-10.256,14.398,17.0,NA,NA,NA
29,Line,-10.256,14.398,17.0,-10.197,14.232,17.0,NA,NA,NA
30,Line,-10.197,14.232,17.0,-10.148,14.108,17.0,NA,NA,NA
31,Line,-10.148,14.108,17.0,-10.102,14.0,17.0,NA,NA,NA
32,Line,-10.102,14.0,17.0,-10.065,13.92,17.0,NA,NA,NA
33,Line,-10.065,13.92,17.0,-10.025,13.841,17.0,NA,NA,NA
34,Line,-10.025,13.841,17.0,-9.982,13.764,17.0,NA,NA,NA
35,Line,-9.982,13.764,17.0,-9.935,13.689,17.0,NA,NA,NA
36,Line,-9.935,13.689,17.0,-9.251,12.747,17.0,NA,NA,NA
