Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,-8.278,-1.136,3.374,-8.129,-0.676,3.396,NA,NA,NA
2,Line,-8.507,-1.578,3.338,-8.278,-1.136,3.374,NA,NA,NA
3,Line,-8.821,-1.989,3.288,-8.507,-1.578,3.338,NA,NA,NA
4,Line,-9.223,-2.355,3.221,-8.821,-1.989,3.288,NA,NA,NA
5,Line,-9.72,-2.658,3.134,-9.223,-2.355,3.221,NA,NA,NA
6,Line,-10.301,-2.866,3.027,-9.72,-2.658,3.134,NA,NA,NA
7,Line,-10.93,-2.949,2.903,-10.301,-2.866,3.027,NA,NA,NA
8,Line,-11.561,-2.896,2.771,-10.93,-2.949,2.903,NA,NA,NA
9,Line,-12.151,-2.716,2.641,-11.561,-2.896,2.771,NA,NA,NA
10,Line,-12.663,-2.437,2.522,-12.151,-2.716,2.641,NA,NA,NA
11,Line,-13.088,-2.083,2.42,-12.663,-2.437,2.522,NA,NA,NA
12,Line,-13.426,-1.678,2.336,-13.088,-2.083,2.42,NA,NA,NA
13,Line,-13.671,-1.253,2.274,-13.426,-1.678,2.336,NA,NA,NA
14,Line,-13.881,-0.636,2.22,-13.671,-1.253,2.274,NA,NA,NA
15,Line,-13.95,0.0,2.201,-13.881,-0.636,2.22,NA,NA,NA
16,Line,-13.95,0.0,2.201,-13.938,0.269,2.204,NA,NA,NA
17,Line,-13.938,0.269,2.204,-13.901,0.535,2.212,NA,NA,NA
18,Line,-13.901,0.535,2.212,-13.757,1.049,2.241,NA,NA,NA
19,Line,-13.757,1.049,2.241,-13.524,1.526,2.289,NA,NA,NA
20,Line,-13.524,1.526,2.289,-13.212,1.952,2.354,NA,NA,NA
21,Line,-13.212,1.952,2.354,-12.831,2.313,2.432,NA,NA,NA
22,Line,-12.831,2.313,2.432,-12.395,2.599,2.522,NA,NA,NA
23,Line,-12.395,2.599,2.522,-11.918,2.804,2.62,NA,NA,NA
24,Line,-11.918,2.804,2.62,-11.414,2.921,2.723,NA,NA,NA
25,Line,-11.414,2.921,2.723,-10.899,2.948,2.829,NA,NA,NA
26,Line,-10.899,2.948,2.829,-10.386,2.885,2.933,NA,NA,NA
27,Line,-10.386,2.885,2.933,-9.891,2.733,3.034,NA,NA,NA
28,Line,-9.891,2.733,3.034,-9.428,2.496,3.128,NA,NA,NA
29,Line,-9.428,2.496,3.128,-9.012,2.179,3.213,NA,NA,NA
30,Line,-9.012,2.179,3.213,-8.656,1.791,3.285,NA,NA,NA
31,Line,-8.656,1.791,3.285,-8.388,1.371,3.339,NA,NA,NA
32,Line,-8.388,1.371,3.339,-8.136,0.707,3.39,NA,NA,NA
33,Line,-8.136,0.707,3.39,-8.05,0.0,3.408,NA,NA,NA
34,Line,-8.07,-0.339,3.405,-8.05,0.0,3.408,NA,NA,NA
35,Line,-8.129,-0.676,3.396,-8.07,-0.339,3.405,NA,NA,NA
