Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,32.0,-39.5,55.0,32.0,-38.419,55.0,NA,NA,NA
2,Line,31.348,-38.953,55.0,32.0,-39.5,55.0,NA,NA,NA
3,Line,31.348,-38.953,55.0,31.566,-38.776,55.0,NA,NA,NA
4,Line,31.566,-38.776,55.0,31.784,-38.598,55.0,NA,NA,NA
5,Line,31.784,-38.598,55.0,32.0,-38.419,55.0,NA,NA,NA
6,Line,27.9,-43.0,55.0,27.9,-41.492,55.0,NA,NA,NA
7,Line,24.1,-45.35,55.0,27.9,-43.0,55.0,NA,NA,NA
8,Line,21.057,-45.35,55.0,24.1,-45.35,55.0,NA,NA,NA
9,Line,21.057,-45.35,55.0,22.823,-44.487,55.0,NA,NA,NA
10,Line,22.823,-44.487,55.0,24.554,-43.556,55.0,NA,NA,NA
11,Line,24.554,-43.556,55.0,26.247,-42.557,55.0,NA,NA,NA
12,Line,26.247,-42.557,55.0,27.9,-41.492,55.0,NA,NA,NA
13,Line,-17.693,-46.765,55.0,-17.438,-46.861,55.0,NA,NA,NA
14,Line,-18.2,-47.5,55.0,-17.438,-46.861,55.0,NA,NA,NA
15,Line,-18.2,-47.5,55.0,-18.2,-46.57,55.0,NA,NA,NA
16,Line,-18.2,-46.57,55.0,-17.947,-46.668,55.0,NA,NA,NA
17,Line,-17.947,-46.668,55.0,-17.693,-46.765,55.0,NA,NA,NA
18,Line,-17.693,-46.765,55.0,-17.438,-46.861,55.0,NA,NA,NA
19,Line,-18.2,-47.5,55.0,-17.438,-46.861,55.0,NA,NA,NA
20,Line,-32.0,38.419,55.0,-31.784,38.598,55.0,NA,NA,NA
21,Line,-31.784,38.598,55.0,-31.566,38.776,55.0,NA,NA,NA
22,Line,-31.566,38.776,55.0,-31.348,38.953,55.0,NA,NA,NA
23,Line,-32.0,39.5,55.0,-31.348,38.953,55.0,NA,NA,NA
24,Line,-32.0,38.419,55.0,-32.0,39.5,55.0,NA,NA,NA
25,Line,-27.9,41.492,55.0,-26.247,42.557,55.0,NA,NA,NA
26,Line,-26.247,42.557,55.0,-24.554,43.556,55.0,NA,NA,NA
27,Line,-24.554,43.556,55.0,-22.823,44.487,55.0,NA,NA,NA
28,Line,-22.823,44.487,55.0,-21.057,45.35,55.0,NA,NA,NA
29,Line,-24.1,45.35,55.0,-21.057,45.35,55.0,NA,NA,NA
30,Line,-27.9,43.0,55.0,-24.1,45.35,55.0,NA,NA,NA
31,Line,-27.9,41.492,55.0,-27.9,43.0,55.0,NA,NA,NA
32,Line,17.947,46.668,55.0,18.2,46.57,55.0,NA,NA,NA
33,Line,17.693,46.765,55.0,17.947,46.668,55.0,NA,NA,NA
34,Line,17.438,46.861,55.0,17.693,46.765,55.0,NA,NA,NA
35,Line,17.438,46.861,55.0,18.2,47.5,55.0,NA,NA,NA
36,Line,18.2,46.57,55.0,18.2,47.5,55.0,NA,NA,NA
