Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,32.0,-39.5,0.0,32.0,-29.5,0.0,NA,NA,NA
2,Line,27.9,-32.94,0.0,32.0,-29.5,0.0,NA,NA,NA
3,Line,27.9,-32.94,0.0,27.9,-27.0,0.0,NA,NA,NA
4,Line,27.9,-27.0,0.0,38.9,-27.0,0.0,NA,NA,NA
5,Line,38.9,-31.413,0.0,38.9,-27.0,0.0,NA,NA,NA
6,Line,32.0,-39.5,0.0,38.9,-31.413,0.0,NA,NA,NA
7,Line,27.9,-43.0,0.0,32.0,-39.5,0.0,NA,NA,NA
8,Line,27.9,-43.0,0.0,27.9,-36.06,0.0,NA,NA,NA
9,Line,27.9,-36.06,0.0,32.0,-39.5,0.0,NA,NA,NA
10,Line,-25.1,-35.0,0.0,-14.1,-35.0,0.0,NA,NA,NA
11,Line,-14.1,-40.94,0.0,-14.1,-35.0,0.0,NA,NA,NA
12,Line,-18.2,-37.5,0.0,-14.1,-40.94,0.0,NA,NA,NA
13,Line,-18.2,-47.5,0.0,-18.2,-37.5,0.0,NA,NA,NA
14,Line,-18.2,-47.5,0.0,-14.1,-44.06,0.0,NA,NA,NA
15,Line,-14.1,-47.971,0.0,-14.1,-44.06,0.0,NA,NA,NA
16,Line,-18.2,-47.5,0.0,-14.1,-47.971,0.0,NA,NA,NA
17,Line,-25.1,-43.243,0.0,-18.2,-47.5,0.0,NA,NA,NA
18,Line,-25.1,-43.243,0.0,-25.1,-35.0,0.0,NA,NA,NA
19,Line,-25.1,-35.0,0.0,-14.1,-35.0,0.0,NA,NA,NA
20,Line,-38.9,27.0,0.0,-27.9,27.0,0.0,NA,NA,NA
21,Line,-38.9,27.0,0.0,-38.9,31.413,0.0,NA,NA,NA
22,Line,-38.9,31.413,0.0,-32.0,39.5,0.0,NA,NA,NA
23,Line,-32.0,39.5,0.0,-27.9,43.0,0.0,NA,NA,NA
24,Line,-27.9,36.06,0.0,-27.9,43.0,0.0,NA,NA,NA
25,Line,-32.0,39.5,0.0,-27.9,36.06,0.0,NA,NA,NA
26,Line,-32.0,29.5,0.0,-32.0,39.5,0.0,NA,NA,NA
27,Line,-32.0,29.5,0.0,-27.9,32.94,0.0,NA,NA,NA
28,Line,-27.9,27.0,0.0,-27.9,32.94,0.0,NA,NA,NA
29,Line,-38.9,27.0,0.0,-27.9,27.0,0.0,NA,NA,NA
30,Line,18.2,47.5,0.0,25.1,43.243,0.0,NA,NA,NA
31,Line,25.1,35.0,0.0,25.1,43.243,0.0,NA,NA,NA
32,Line,14.1,35.0,0.0,25.1,35.0,0.0,NA,NA,NA
33,Line,14.1,35.0,0.0,14.1,40.94,0.0,NA,NA,NA
34,Line,14.1,40.94,0.0,18.2,37.5,0.0,NA,NA,NA
35,Line,18.2,37.5,0.0,18.2,47.5,0.0,NA,NA,NA
36,Line,14.1,44.06,0.0,18.2,47.5,0.0,NA,NA,NA
37,Line,14.1,44.06,0.0,14.1,47.971,0.0,NA,NA,NA
38,Line,14.1,47.971,0.0,18.2,47.5,0.0,NA,NA,NA
39,Line,18.2,47.5,0.0,25.1,43.243,0.0,NA,NA,NA
