Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,-46.0,2.55,96.699,-49.935,2.55,96.699,NA,NA,NA
2,Line,-46.0,2.55,96.699,-44.0,2.55,96.699,NA,NA,NA
3,Line,-44.0,2.55,96.699,-42.0,2.55,96.699,NA,NA,NA
4,Line,-42.0,2.55,96.699,-42.0,-2.55,96.699,NA,NA,NA
5,Line,-42.0,-2.55,96.699,-44.0,-2.55,96.699,NA,NA,NA
6,Line,-46.0,-2.55,96.699,-44.0,-2.55,96.699,NA,NA,NA
7,Line,-46.0,-2.55,96.699,-49.935,-2.55,96.699,NA,NA,NA
8,3_point_arc_1,-49.935,-2.55,96.699,-50.0,0.0,96.699,-49.935,2.55,96.699
