Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,0.0,25.0,50.0,16.75,25.0,50.0,NA,NA,NA
2,Line,15.574,22.536,50.0,16.75,25.0,50.0,NA,NA,NA
3,Line,14.521,20.016,50.0,15.574,22.536,50.0,NA,NA,NA
4,Line,13.594,17.447,50.0,14.521,20.016,50.0,NA,NA,NA
5,Line,12.795,14.836,50.0,13.594,17.447,50.0,NA,NA,NA
6,Line,12.127,12.188,50.0,12.795,14.836,50.0,NA,NA,NA
7,Line,11.59,9.511,50.0,12.127,12.188,50.0,NA,NA,NA
8,Line,11.186,6.81,50.0,11.59,9.511,50.0,NA,NA,NA
9,Line,10.916,4.093,50.0,11.186,6.81,50.0,NA,NA,NA
10,Line,10.781,1.365,50.0,10.916,4.093,50.0,NA,NA,NA
11,Line,10.781,-1.365,50.0,10.781,1.365,50.0,NA,NA,NA
12,Line,10.781,-1.365,50.0,10.916,-4.093,50.0,NA,NA,NA
13,Line,10.916,-4.093,50.0,11.186,-6.81,50.0,NA,NA,NA
14,Line,11.186,-6.81,50.0,11.59,-9.511,50.0,NA,NA,NA
15,Line,11.59,-9.511,50.0,12.127,-12.188,50.0,NA,NA,NA
16,Line,12.127,-12.188,50.0,12.795,-14.836,50.0,NA,NA,NA
17,Line,12.795,-14.836,50.0,13.594,-17.447,50.0,NA,NA,NA
18,Line,13.594,-17.447,50.0,14.521,-20.016,50.0,NA,NA,NA
19,Line,14.521,-20.016,50.0,15.574,-22.536,50.0,NA,NA,NA
20,Line,15.574,-22.536,50.0,16.75,-25.0,50.0,NA,NA,NA
21,Line,0.0,-25.0,50.0,16.75,-25.0,50.0,NA,NA,NA
22,Line,0.0,-25.0,50.0,0.0,25.0,50.0,NA,NA,NA
