Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,-16.15,-10.0,3.0,-16.15,10.0,3.0,NA,NA,NA
2,Line,-21.15,-10.0,3.0,-16.15,-10.0,3.0,NA,NA,NA
3,Line,-21.15,10.0,3.0,-21.15,-10.0,3.0,NA,NA,NA
4,Line,-16.15,10.0,3.0,-21.15,10.0,3.0,NA,NA,NA
5,Line,-17.15,7.4,3.0,-20.15,7.4,3.0,NA,NA,NA
6,Line,-17.15,1.6,3.0,-17.15,7.4,3.0,NA,NA,NA
7,Line,-20.15,1.6,3.0,-17.15,1.6,3.0,NA,NA,NA
8,Line,-20.15,7.4,3.0,-20.15,1.6,3.0,NA,NA,NA
9,Line,-17.15,-1.6,3.0,-20.15,-1.6,3.0,NA,NA,NA
10,Line,-20.15,-1.6,3.0,-20.15,-7.4,3.0,NA,NA,NA
11,Line,-20.15,-7.4,3.0,-17.15,-7.4,3.0,NA,NA,NA
12,Line,-17.15,-7.4,3.0,-17.15,-1.6,3.0,NA,NA,NA
