Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,triangular_face_1,41.24,-16.029,14.5,43.959,-17.297,7.825,43.959,-17.297,14.5
2,triangular_face_2,41.24,-16.029,14.5,41.24,-16.029,7.825,43.959,-17.297,7.825
3,triangular_face_3,41.24,-16.029,7.825,42.732,-19.926,6.15,43.959,-17.297,7.825
4,triangular_face_4,41.24,-16.029,7.825,40.013,-18.659,6.15,42.732,-19.926,6.15
5,triangular_face_5,40.013,-18.659,6.15,41.506,-22.556,7.825,42.732,-19.926,6.15
6,triangular_face_6,40.013,-18.659,6.15,38.787,-21.288,7.825,41.506,-22.556,7.825
7,triangular_face_7,38.787,-21.288,7.825,38.787,-21.288,14.5,41.506,-22.556,7.825
8,triangular_face_8,41.506,-22.556,7.825,38.787,-21.288,14.5,41.506,-22.556,14.5
9,Line,38.787,-21.288,14.5,41.24,-16.029,14.5,NA,NA,NA
10,Line,38.787,-21.288,14.5,41.506,-22.556,14.5,NA,NA,NA
11,Line,41.506,-22.556,14.5,43.959,-17.297,14.5,NA,NA,NA
12,Line,41.24,-16.029,14.5,43.959,-17.297,14.5,NA,NA,NA
13,triangular_face_9,29.167,33.27,14.5,31.289,35.392,7.825,31.289,35.392,14.5
14,triangular_face_10,29.167,33.27,14.5,29.167,33.27,7.825,31.289,35.392,7.825
15,triangular_face_11,29.167,33.27,7.825,31.219,31.219,6.15,31.289,35.392,7.825
16,triangular_face_12,31.289,35.392,7.825,31.219,31.219,6.15,33.34,33.34,6.15
17,triangular_face_13,31.219,31.219,6.15,35.392,31.289,7.825,33.34,33.34,6.15
18,triangular_face_14,31.219,31.219,6.15,33.27,29.167,7.825,35.392,31.289,7.825
19,triangular_face_15,33.27,29.167,7.825,33.27,29.167,14.5,35.392,31.289,7.825
20,triangular_face_16,35.392,31.289,7.825,33.27,29.167,14.5,35.392,31.289,14.5
21,Line,31.289,35.392,14.5,35.392,31.289,14.5,NA,NA,NA
22,Line,29.167,33.27,14.5,31.289,35.392,14.5,NA,NA,NA
23,Line,29.167,33.27,14.5,33.27,29.167,14.5,NA,NA,NA
24,Line,33.27,29.167,14.5,35.392,31.289,14.5,NA,NA,NA
25,triangular_face_17,-41.24,16.029,14.5,-43.959,17.297,7.825,-43.959,17.297,14.5
26,triangular_face_18,-41.24,16.029,14.5,-41.24,16.029,7.825,-43.959,17.297,7.825
27,triangular_face_19,-41.24,16.029,7.825,-42.732,19.926,6.15,-43.959,17.297,7.825
28,triangular_face_20,-41.24,16.029,7.825,-40.013,18.659,6.15,-42.732,19.926,6.15
29,triangular_face_21,-40.013,18.659,6.15,-41.506,22.556,7.825,-42.732,19.926,6.15
30,triangular_face_22,-40.013,18.659,6.15,-38.787,21.288,7.825,-41.506,22.556,7.825
31,triangular_face_23,-38.787,21.288,7.825,-38.787,21.288,14.5,-41.506,22.556,7.825
32,triangular_face_24,-41.506,22.556,7.825,-38.787,21.288,14.5,-41.506,22.556,14.5
33,Line,-43.959,17.297,14.5,-41.506,22.556,14.5,NA,NA,NA
34,Line,-43.959,17.297,14.5,-41.24,16.029,14.5,NA,NA,NA
35,Line,-41.24,16.029,14.5,-38.787,21.288,14.5,NA,NA,NA
36,Line,-41.506,22.556,14.5,-38.787,21.288,14.5,NA,NA,NA
37,triangular_face_25,-29.167,-33.27,14.5,-29.167,-33.27,7.825,-31.289,-35.392,14.5
38,triangular_face_26,-31.289,-35.392,14.5,-29.167,-33.27,7.825,-31.289,-35.392,7.825
39,triangular_face_27,-29.167,-33.27,7.825,-33.34,-33.34,6.15,-31.289,-35.392,7.825
40,triangular_face_28,-29.167,-33.27,7.825,-31.219,-31.219,6.15,-33.34,-33.34,6.15
41,triangular_face_29,-31.219,-31.219,6.15,-35.392,-31.289,7.825,-33.34,-33.34,6.15
42,triangular_face_30,-31.219,-31.219,6.15,-33.27,-29.167,7.825,-35.392,-31.289,7.825
43,triangular_face_31,-33.27,-29.167,7.825,-33.27,-29.167,14.5,-35.392,-31.289,7.825
44,triangular_face_32,-35.392,-31.289,7.825,-33.27,-29.167,14.5,-35.392,-31.289,14.5
45,Line,-31.289,-35.392,14.5,-29.167,-33.27,14.5,NA,NA,NA
46,Line,-33.27,-29.167,14.5,-29.167,-33.27,14.5,NA,NA,NA
47,Line,-35.392,-31.289,14.5,-33.27,-29.167,14.5,NA,NA,NA
48,Line,-35.392,-31.289,14.5,-31.289,-35.392,14.5,NA,NA,NA
