Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,41.506,-22.556,7.825,42.732,-19.926,6.15,NA,NA,NA
2,Line,42.732,-19.926,6.15,43.959,-17.297,7.825,NA,NA,NA
3,Line,43.959,-17.297,7.825,43.959,-17.297,14.5,NA,NA,NA
4,Line,41.506,-22.556,14.5,43.959,-17.297,14.5,NA,NA,NA
5,Line,41.506,-22.556,7.825,41.506,-22.556,14.5,NA,NA,NA
6,Line,40.013,-18.659,6.15,41.24,-16.029,7.825,NA,NA,NA
7,Line,38.787,-21.288,7.825,40.013,-18.659,6.15,NA,NA,NA
8,Line,38.787,-21.288,7.825,38.787,-21.288,14.5,NA,NA,NA
9,Line,38.787,-21.288,14.5,41.24,-16.029,14.5,NA,NA,NA
10,Line,41.24,-16.029,7.825,41.24,-16.029,14.5,NA,NA,NA
11,Line,33.34,33.34,6.15,35.392,31.289,7.825,NA,NA,NA
12,Line,31.289,35.392,7.825,33.34,33.34,6.15,NA,NA,NA
13,Line,31.289,35.392,7.825,31.289,35.392,14.5,NA,NA,NA
14,Line,31.289,35.392,14.5,35.392,31.289,14.5,NA,NA,NA
15,Line,35.392,31.289,7.825,35.392,31.289,14.5,NA,NA,NA
16,Line,29.167,33.27,7.825,31.219,31.219,6.15,NA,NA,NA
17,Line,31.219,31.219,6.15,33.27,29.167,7.825,NA,NA,NA
18,Line,33.27,29.167,7.825,33.27,29.167,14.5,NA,NA,NA
19,Line,29.167,33.27,14.5,33.27,29.167,14.5,NA,NA,NA
20,Line,29.167,33.27,7.825,29.167,33.27,14.5,NA,NA,NA
21,Line,-43.959,17.297,7.825,-42.732,19.926,6.15,NA,NA,NA
22,Line,-42.732,19.926,6.15,-41.506,22.556,7.825,NA,NA,NA
23,Line,-41.506,22.556,7.825,-41.506,22.556,14.5,NA,NA,NA
24,Line,-43.959,17.297,14.5,-41.506,22.556,14.5,NA,NA,NA
25,Line,-43.959,17.297,7.825,-43.959,17.297,14.5,NA,NA,NA
26,Line,-40.013,18.659,6.15,-38.787,21.288,7.825,NA,NA,NA
27,Line,-41.24,16.029,7.825,-40.013,18.659,6.15,NA,NA,NA
28,Line,-41.24,16.029,7.825,-41.24,16.029,14.5,NA,NA,NA
29,Line,-41.24,16.029,14.5,-38.787,21.288,14.5,NA,NA,NA
30,Line,-38.787,21.288,7.825,-38.787,21.288,14.5,NA,NA,NA
31,Line,-35.392,-31.289,7.825,-33.34,-33.34,6.15,NA,NA,NA
32,Line,-33.34,-33.34,6.15,-31.289,-35.392,7.825,NA,NA,NA
33,Line,-31.289,-35.392,7.825,-31.289,-35.392,14.5,NA,NA,NA
34,Line,-35.392,-31.289,14.5,-31.289,-35.392,14.5,NA,NA,NA
35,Line,-35.392,-31.289,7.825,-35.392,-31.289,14.5,NA,NA,NA
36,Line,-31.219,-31.219,6.15,-29.167,-33.27,7.825,NA,NA,NA
37,Line,-33.27,-29.167,7.825,-31.219,-31.219,6.15,NA,NA,NA
38,Line,-33.27,-29.167,7.825,-33.27,-29.167,14.5,NA,NA,NA
39,Line,-33.27,-29.167,14.5,-29.167,-33.27,14.5,NA,NA,NA
40,Line,-29.167,-33.27,7.825,-29.167,-33.27,14.5,NA,NA,NA
