Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,-39.652,-30.459,4.5,-38.291,-32.153,4.5,NA,NA,NA
2,Line,-38.291,-32.153,4.5,-36.858,-33.786,4.5,NA,NA,NA
3,Line,-36.858,-33.786,4.5,-35.355,-35.355,4.5,NA,NA,NA
4,Line,-35.355,-35.355,4.5,-33.786,-36.858,4.5,NA,NA,NA
5,Line,-33.786,-36.858,4.5,-32.153,-38.291,4.5,NA,NA,NA
6,Line,-32.153,-38.291,4.5,-30.459,-39.652,4.5,NA,NA,NA
7,Line,-30.459,-39.652,4.5,-25.102,-34.295,4.5,NA,NA,NA
8,Line,-34.295,-25.102,4.5,-25.102,-34.295,4.5,NA,NA,NA
9,Line,-39.652,-30.459,4.5,-34.295,-25.102,4.5,NA,NA,NA
10,Line,-43.31,24.985,4.5,-42.184,26.843,4.5,NA,NA,NA
11,Line,-44.355,23.08,4.5,-43.31,24.985,4.5,NA,NA,NA
12,Line,-45.315,21.131,4.5,-44.355,23.08,4.5,NA,NA,NA
13,Line,-46.191,19.142,4.5,-45.315,21.131,4.5,NA,NA,NA
14,Line,-46.979,17.118,4.5,-46.191,19.142,4.5,NA,NA,NA
15,Line,-47.678,15.061,4.5,-46.979,17.118,4.5,NA,NA,NA
16,Line,-47.678,15.061,4.5,-40.812,11.859,4.5,NA,NA,NA
17,Line,-40.812,11.859,4.5,-35.318,23.641,4.5,NA,NA,NA
18,Line,-40.812,11.859,4.5,-35.318,23.641,4.5,NA,NA,NA
19,Line,-42.184,26.843,4.5,-35.318,23.641,4.5,NA,NA,NA
20,Line,38.291,32.153,4.5,39.652,30.459,4.5,NA,NA,NA
21,Line,36.858,33.786,4.5,38.291,32.153,4.5,NA,NA,NA
22,Line,35.355,35.355,4.5,36.858,33.786,4.5,NA,NA,NA
23,Line,33.786,36.858,4.5,35.355,35.355,4.5,NA,NA,NA
24,Line,32.153,38.291,4.5,33.786,36.858,4.5,NA,NA,NA
25,Line,30.459,39.652,4.5,32.153,38.291,4.5,NA,NA,NA
26,Line,25.102,34.295,4.5,30.459,39.652,4.5,NA,NA,NA
27,Line,25.102,34.295,4.5,34.295,25.102,4.5,NA,NA,NA
28,Line,34.295,25.102,4.5,39.652,30.459,4.5,NA,NA,NA
29,Line,42.184,-26.843,4.5,43.31,-24.985,4.5,NA,NA,NA
30,Line,43.31,-24.985,4.5,44.355,-23.08,4.5,NA,NA,NA
31,Line,44.355,-23.08,4.5,45.315,-21.131,4.5,NA,NA,NA
32,Line,45.315,-21.131,4.5,46.191,-19.142,4.5,NA,NA,NA
33,Line,46.191,-19.142,4.5,46.979,-17.118,4.5,NA,NA,NA
34,Line,46.979,-17.118,4.5,47.678,-15.061,4.5,NA,NA,NA
35,Line,35.318,-23.641,4.5,42.184,-26.843,4.5,NA,NA,NA
36,Line,40.812,-11.859,4.5,47.678,-15.061,4.5,NA,NA,NA
37,Line,35.318,-23.641,4.5,40.812,-11.859,4.5,NA,NA,NA
